paper_id,english_safe_file_name,original_file_name,title,authors,journal,year,DOI,keywords,research_field,material_system,core_topic,preliminary_category,readable_status,notes
P104,P104_unidentified.pdf,Journal of the American Ceramic Society - 2005 - Damjanovic - Contributions to the Piezoelectric Effect in Ferroelectric.pdf,"J.Am.Ceram.Soc.,88[10]2663–2676(2005)","CeramicsLaboratory,MaterialsScienceandEngineeringInstitute,E´colepolytechniquefe´de´raledeLausanne-EPFL,",Nature,2005,10.1111/j.1551-2916.2005.00671.x,,,,,piezoelectric,readable,
P105,P105_unidentified.pdf,PhysRevB.73.174106.pdf,"PHYSICALREVIEWB73,174106(cid:1)2006(cid:2)","Piezoelectric response and free-energy instability in the perovskite crystals BaTiO , PbTiO ,",Science,2006,10.1103/PhysRevB.73.174106,,,,,piezoelectric,readable,
P106,P106_unidentified.pdf,designing-high-piezoelectric-properties-at-the-batio3-pbzro3-pbtio3-phase-boundary-by-landau-devonshire-theory.pdf,JOURNALOFADVANCEDDIELECTRICS,,Science,2024,10.1142/S2010135X23400027,,,,,piezoelectric,readable,
P107,P107_unidentified.pdf,science.adn4926.pdf,REVIEW SUMMARY,"Fei Li*, Bo Wang, Xiangyu Gao, Dragan Damjanovic, Long-Q ing Chen, Shujun Zhang",Science,2000,10.1126/science.adn4926,,,,,piezoelectric,readable,
P108,P108_unidentified.pdf,压电效应—百岁铁电的守护者.pdf,压电效应—百岁铁电的守护者,"引用信息 Citation: Acta Physica Sinica, 69, 217703 (2020) DOI: 10.7498/aps.69.20200980",,2020,10.7498/aps.69.20200980,,,,,piezoelectric,readable,
P109,P109_unidentified.pdf,铁电极化的非谐震拉曼控制.pdf,RESEARCH ARTICLE,"Jiaojian Shi,* Christian Heide, Haowei Xu, Yuejun Shen, Meredith Henstridge,",Matter,2025,10.1002/adma.202510524,,,,,piezoelectric,readable,
P110,P110_unidentified.pdf,1-s2.0-S2211285519302150-main.pdf,Nano Energy 59 (2019) 730–744,"DepartmentofElectronicEngineering,UniversityofRomeTorVergata,ViadelPolitecnico1,00133,Rome,Italy",Science,2019,10.1016/j.nanoen.2019.03.027,,,,,piezoelectric,readable,
P111,P111_unidentified.pdf,1-s2.0-S2211285522007686-main.pdf,NanoEnergy102(2022)107690,"Guangbo Xiaa,1, Guobao Wangc,d,1, Huiyi Yangc,e,1, Wenbo Wangb,*, Jian Fanga,*",Science,2022,10.1016/j.nanoen.2022.107690,,,,,piezoelectric,readable,
P112,P112_unidentified.pdf,1-s2.0-S2211285522011028-main.pdf,NanoEnergy105(2023)108024,"Yue Suna, Sophia Shenb, Weili Denga,*, Guo Tiana, Da Xionga, Hongrui Zhanga, Tao Yanga,",Science,2022,10.1016/j.nanoen.2022.108024,,,,,piezoelectric,readable,
P113,P113_unidentified.pdf,1-s2.0-S2211285523008248-main.pdf,NanoEnergy118(2023)108987,"Junzhu Taoa,b,1, Yifan Wanga,b,1, Xuekai Zhenga,b, Chao Zhaob,c, Xin Jina,b,*,",Science,2023,10.1016/j.nanoen.2023.108987,,,,,piezoelectric,readable,
P114,P114_unidentified.pdf,1-s2.0-S2211285523009291-main.pdf,NanoEnergy120(2024)109092,"School of Science and Engineering, University of Dundee, Dundee, United Kingdom",Science,2023,10.1016/j.nanoen.2023.109092,,,,,piezoelectric,readable,
P115,P115_unidentified.pdf,1-s2.0-S2352492822003592-main.pdf,MaterialsTodayCommunications31(2022)103491,"Biomaterials Drug Delivery and Nanotechnology Unit, Centre for Biomedical and Biomaterials Research, MSIRI Building, University of Mauritius, 80837 R´eduit,",Science,2022,10.1016/j.mtcomm.2022.103491,,,,,piezoelectric,readable,
P116,P116_unidentified.pdf,1208db79-1e09-4f3c-af70-42f612a2e067-复制.pdf,International Materials Reviews,"theory, challenges and opportunities, International Materials Reviews, 67:1, 65-88, DOI:",Science,2021,10.1080/09506608.2021.1915935,,,,,piezoelectric,readable,
P117,P117_unidentified.pdf,145d5362-9d4a-41a5-ae73-7956a9eadb39-复制.pdf,NanoEnergy118(2023)108987,"Junzhu Taoa,b,1, Yifan Wanga,b,1, Xuekai Zhenga,b, Chao Zhaob,c, Xin Jina,b,*,",Science,2023,10.1016/j.nanoen.2023.108987,,,,,piezoelectric,readable,
P118,P118_unidentified.pdf,1a2cf557-e5ed-4dbf-b86b-6159bcf994de-复制.pdf,"Materials Today d Volume xxx, Number xx d xxxx 2025 RESEARCH (LIGHT BLUE)",,Science,2025,10.1016/j.mattod.2025.02.003,,,,,piezoelectric,readable,
P119,P119_unidentified.pdf,25ad48a4-1a79-4225-8822-0f795a600d84-复制.pdf,www.acsami.org ResearchArticle,"Ruoyu Sheng, Jing Mu, Roman V. Chernozem, Yulia R. Mukhortova, Maria A. Surmeneva, Igor O. Pariy,",Polymer,2023,10.1021/acsami.2c15802,,,,,piezoelectric,readable,
P120,P120_unidentified.pdf,29540a6f-3a91-4d7f-8304-ba3dc962ec63-复制.pdf,All-polymer piezo-ionic-electric electronics,"Received:10July2024 TianpeiXu1,LongJin 1 ,YongAo1,JielingZhang1,YueSun1,ShenglongWang1,",Polymer,2024,10.1038/s41467-024-55177-y,,,,,piezoelectric,readable,
P121,P121_unidentified.pdf,371b2cb6-dfb7-4db6-8d91-2ed486172a33-复制.pdf,MaterialsTodayCommunications31(2022)103491,"Biomaterials Drug Delivery and Nanotechnology Unit, Centre for Biomedical and Biomaterials Research, MSIRI Building, University of Mauritius, 80837 R´eduit,",Science,2022,10.1016/j.mtcomm.2022.103491,,,,,piezoelectric,readable,
P122,P122_unidentified.pdf,4249dd8e-2e88-4f7d-8cbe-82f265780398-复制.pdf,"HYDROGELS byweight,blackcurve)producingafasterrise","content version (30%, blue curve), which ex-",Polymer,2022,,,,,,piezoelectric,readable,
P123,P123_unidentified.pdf,51e3669e-e728-419c-843b-0e55a04a762d-复制.pdf,www.small-science-journal.com,"He Li, Xueting Pan, Tianyun Wang, Zhenlin Fan,* Hai Wang,* and Wenjie Ren*",Science,2024,10.1002/smsc.202300255,,,,,piezoelectric,readable,
P124,P124_unidentified.pdf,5e9d3b76-9b04-4d30-8869-8669ec93ade2-复制.pdf,Active self-assembly of piezoelectric biomo-,"Received:25January2023 ZhuominZhang 1,2,9,XuemuLi1,2,9,ZehuaPeng1,2,XiaodongYan1,2,",,2023,10.1038/s41467-023-39692-y,,,,,piezoelectric,readable,
P125,P125_unidentified.pdf,636b5091-993c-43a4-9cbc-6e61764ce715-复制.pdf,www.advmat.de,"Si Chen, Piao Zhu, Lijie Mao, Wencheng Wu, Han Lin, Deliang Xu, Xiangyu Lu,*",,2023,10.1002/adma.202208256,,,,,piezoelectric,readable,
P126,P126_unidentified.pdf,6f1a8b9c-e82d-4c70-b423-47886a519a5e-复制.pdf,RESEARCH ARTICLE,"Dingge Liu, Xinyu Wang, Chenyuan Gao, Zhihua Zhang, Qi Wang, Yin Pei, Haijun Wang,",,2024,10.1002/adma.202409400,,,,,piezoelectric,readable,
P127,P127_unidentified.pdf,84c73b8b-35cd-43b1-8004-c678c675de1e-复制.pdf,84c73b8b-35cd-43b1-8004-c678c675de1e-复制,,,,,,,,,piezoelectric,readable,
P128,P128_unidentified.pdf,94d7de04-582d-4a12-a2bf-e097e1faebe3-复制.pdf,RESEARCH ARTICLE,"Weiyan Zhu, Baohu Wu, Zhouyue Lei,* and Peiyi Wu*",,2024,10.1002/adma.202313127,,,,,piezoelectric,readable,
P129,P129_unidentified.pdf,Advanced Materials - 2021 - Liu - Electroactive Biomaterials and Systems for Cell Fate Determination and Tissue.pdf,www.advmat.de,"Zhirong Liu, Xingyi Wan, Zhong Lin Wang,* and Linlin Li*",,2021,10.1002/adma.202007429,,,,,piezoelectric,readable,
P130,P130_unidentified.pdf,Advanced Materials - 2023 - Chen - Piezocatalytic Medicine  An Emerging Frontier using Piezoelectric Materials for.pdf,www.advmat.de,"Si Chen, Piao Zhu, Lijie Mao, Wencheng Wu, Han Lin, Deliang Xu, Xiangyu Lu,*",,2023,10.1002/adma.202208256,,,,,piezoelectric,readable,
P131,P131_unidentified.pdf,Advanced Materials - 2024 - Liu - Biodegradable Piezoelectric‐Conductive Integrated Hydrogel Scaffold for Repair of.pdf,RESEARCH ARTICLE,"Dingge Liu, Xinyu Wang, Chenyuan Gao, Zhihua Zhang, Qi Wang, Yin Pei, Haijun Wang,",,2024,10.1002/adma.202409400,,,,,piezoelectric,readable,
P132,P132_unidentified.pdf,Advanced Materials - 2024 - Zhu - Piezoionic Elastomers by Phase and Interface Engineering for High‐Performance.pdf,RESEARCH ARTICLE,"Weiyan Zhu, Baohu Wu, Zhouyue Lei,* and Peiyi Wu*",,2024,10.1002/adma.202313127,,,,,piezoelectric,readable,
P133,P133_unidentified.pdf,Advanced Sustainable Systems - 2017 - Zhao - A Poly l‐Lactic Acid  Polymer‐Based Thermally Stable Cantilever for Vibration.pdf,Energy Harvesting www.advsustainsys.com,"Chunlin Zhao, Jinxi Zhang, Zhong Lin Wang, and Kailiang Ren*",Polymer,2017,10.1002/adsu.201700068,,,,,piezoelectric,readable,
P134,P134_unidentified.pdf,Small Science - 2024 - Li - Piezoelectric Nanomaterial‐Mediated Physical Signals Regulate Cell Differentiation for.pdf,www.small-science-journal.com,"He Li, Xueting Pan, Tianyun Wang, Zhenlin Fan,* Hai Wang,* and Wenjie Ren*",Science,2024,10.1002/smsc.202300255,,,,,piezoelectric,readable,
P135,P135_unidentified.pdf,b2a042d8-a9ec-48bf-99cd-4da4b3fff1bf-复制.pdf,www.advmat.de,"Zhirong Liu, Xingyi Wan, Zhong Lin Wang,* and Linlin Li*",,2021,10.1002/adma.202007429,,,,,piezoelectric,readable,
P136,P136_unidentified.pdf,c6e66422-e7de-481e-b803-68e3e52b7077-复制.pdf,NanoEnergy102(2022)107690,"Guangbo Xiaa,1, Guobao Wangc,d,1, Huiyi Yangc,e,1, Wenbo Wangb,*, Jian Fanga,*",Science,2022,10.1016/j.nanoen.2022.107690,,,,,piezoelectric,readable,
P137,P137_unidentified.pdf,c9dac35d-7945-4266-bdcd-e0c4e8991bb2-复制.pdf,Energy Harvesting www.advsustainsys.com,"Chunlin Zhao, Jinxi Zhang, Zhong Lin Wang, and Kailiang Ren*",Polymer,2017,10.1002/adsu.201700068,,,,,piezoelectric,readable,
P138,P138_unidentified.pdf,cell.pdf,cell,,,,,,,,,piezoelectric,readable,
P139,P139_unidentified.pdf,d85a7fdd-96a6-4b87-92a7-2e954a8bf300-复制.pdf,INSIGHTS | PERSPECTIVES,"By Linping Wang1,2 and Run-Wei Li1,2,3 try, which centers on the strategic use of ment of the 2D hydrogen bond network",Nature,2023,10.1126/science.ado5706,,,,,piezoelectric,readable,
P140,P140_unidentified.pdf,hu-et-al-2025-biocompatible-piezoelectric-elastomer-for-self-powered-electronics.pdf,pubs.acs.org/NanoLett Letter,"QiuyueHu, Yuting Zhang, Xiaocui Rao, Linping Wang, Liang Gao, Fangzhou Li, Haoyu Shen, Liang Pan,",Polymer,2025,10.1021/acs.nanolett.5c01432,,,,,piezoelectric,readable,
P141,P141_unidentified.pdf,s41467-023-39692-y.pdf,Active self-assembly of piezoelectric biomo-,"Received:25January2023 ZhuominZhang 1,2,9,XuemuLi1,2,9,ZehuaPeng1,2,XiaodongYan1,2,",,2023,10.1038/s41467-023-39692-y,,,,,piezoelectric,readable,
P142,P142_unidentified.pdf,science.aaw1974.pdf,"HYDROGELS byweight,blackcurve)producingafasterrise","content version (30%, blue curve), which ex-",Polymer,2022,,,,,,piezoelectric,readable,
P143,P143_unidentified.pdf,science.ado5706.pdf,INSIGHTS | PERSPECTIVES,"By Linping Wang1,2 and Run-Wei Li1,2,3 try, which centers on the strategic use of ment of the 2D hydrogen bond network",Nature,2023,10.1126/science.ado5706,,,,,piezoelectric,readable,
P144,P144_unidentified.pdf,sheng-et-al-2023-fabrication-and-characterization-of-piezoelectric-polymer-composites-and-cytocompatibility-with.pdf,www.acsami.org ResearchArticle,"Ruoyu Sheng, Jing Mu, Roman V. Chernozem, Yulia R. Mukhortova, Maria A. Surmeneva, Igor O. Pariy,",Polymer,2023,10.1021/acsami.2c15802,,,,,piezoelectric,readable,
P145,P145_unidentified.pdf,压电DFT模拟.pdf,"PHYSICAL REVIEW LETTERS 122, 047701 (2019)","Sarah Guerin,1,2,* Joseph O’Donnell,1,2 Ehtsham U. Haq,1,2 Cian McKeown,1,2 Christophe Silien,1,2",Science,2019,10.1103/PhysRevLett.122.047701,,,,,piezoelectric,readable,
P146,P146_unidentified.pdf,压电综述.pdf,This article is licensed under CC-BY 4.0,"Zhuomin Zhang,*,† Zhenqi Wang, † Xuemu Li, Yi Zheng, and Zhengbao Yang*",Polymer,2025,10.1021/acs.chemrev.5c00399,,,,,piezoelectric,readable,
P147,P147_unidentified.pdf,界面极性工程诱导压电性的超软有机复合薄膜.pdf,Ultra-soft organic combined lm with,"Received:2December2024 YongkangZhang1,XiaonanHu1,ZhaonanYan1,SiyuZhang1,JilingZhao1,HaoSun1,",Polymer,2025,10.1038/s41467-025-61526-2,,,,,piezoelectric,readable,
P148,P148_unidentified.pdf,铁电极化的非谐震拉曼控制.pdf,RESEARCH ARTICLE,"Jiaojian Shi,* Christian Heide, Haowei Xu, Yuejun Shen, Meredith Henstridge,",Matter,2025,10.1002/adma.202510524,,,,,piezoelectric,readable,
P149,P149_unidentified.pdf,动态β-氨基磺胺类化合物合成共价自适应网络.pdf,pubs.acs.org/macroletters Letter,"Stephan Maes, Loc Tan Nguyen, Johan M. Winne,* and Filip E. Du Prez*",Nature,2025,10.1021/acsmacrolett.5c00658,,,,,synthesis,readable,
P150,P150_unidentified.pdf,动态共价聚合物网络：超越化学循环与自修复功能设计的分子平台.pdf,pubs.acs.org/CR Review,"Ning Zheng, Yang Xu, Qian Zhao, and Tao Xie",Polymer,2021,10.1021/acs.chemrev.0c00938,,,,,synthesis,readable,
P151,P151_unidentified.pdf,可控开环共聚物.pdf,This article is licensed under CC-BY 4.0,"David J. E. Seed, Amelia B. Milner, George R. Walker, and Rachel H. Platel*",Macromolecules,2025,10.1021/acs.macromol.5c00822,,,,,synthesis,readable,
P152,P152_unidentified.pdf,告别悬挂：Stenhouse 盐直接嵌入主链实现多响应性商品聚氨酯.pdf,"Howtocite:Angew.Chem.Int.Ed.2025,e202514632","LiviusF.Muff,LaurenHelwig,ArnabNandi,ChristopherM.Bates,*CraigJ.Hawker,*",Polymer,2025,10.1002/anie.202514632,,,,,synthesis,readable,
P153,P153_unidentified.pdf,离子聚合物设计的最新进展：迈向与高性能聚合物的融合.pdf,Ionene www.mcp-journal.de,"Ionenes, condensation polymers wherein the charge (typically cationic) mers, the earliest studied uses of ILs were",Polymer,2019,10.1002/macp.201900078,,,,,synthesis,readable,
P154,P154_unidentified.pdf,软材料中的动态键化学：桥接适应性和机械鲁棒性.pdf,pubs.acs.org/CR Review,"Haeseung Lee, ‡ Jiyun Kim, ‡ Minwoo Lee, ‡ and Jiheong Kang*",Polymer,2025,10.1021/acs.chemrev.5c00566,,,,,synthesis,readable,
P155,P155_unidentified.pdf,通过可逆加成-断裂链转移聚合实现硫辛酸均聚物的可控合成.pdf,pubs.acs.org/JACS Article,"Kenny Lee, Shiwei Han, Parker T. Morris, Christopher M. Bates, Craig J. Hawker,* and Cyrille Boyer*",Polymer,2025,10.1021/jacs.5c14377,,,,,synthesis,readable,
P156,P156_unidentified.pdf,高韧性、耐缺口且快速自修复的热塑性聚氨酯弹性体：通过定制软段设计实现³.pdf,Angewandte Chemie International Edition,"Highly Tough, Notch-Insensitive, and Fast Self-Healing",Advanced Materials,2026,10.1002/anie.8983737,,,,,synthesis,readable,
P157,P157_unidentified.pdf,呋喃二甲酸.pdf,View Article Online,"This article can be cited before page numbers have been issued, to do this please use: C. Han, J. Liu, C.",Polymer,2025,10.1039/D5PY00181A,,,,,other,readable,
P158,P158_unidentified.pdf,在复杂的凝聚相图中统一粘弹性液体的动力学：时间-聚电解质-盐叠加.pdf,pubs.acs.org/Macromolecules Article,"Jialin She, Axel Bourdette Kaya, Jérôme Combet, Matthew Tirrell, Francisco J. Cedano-Serrano,",Macromolecules,2025,10.1021/acs.macromol.5c02702,,,,,other,readable,
P159,P159_unidentified.pdf,室温自修复2021.pdf,Mechano-responsive hydrogen-bonding array of,"Youngho Eom1,5, Seon-Mi Kim2,5, Minkyung Lee2, Hyeonyeol Jeon 2, Jaeduk Park3, Eun Seong Lee3,",Nature,2021,10.1038/s41467-021-20931-z,,,,,polyurethane,readable,
P160,P160_unidentified.pdf,应用泛函分析（柳重堪）.pdf,应用泛函分析（柳重堪）,,,,,,,,,other,readable,
P161,P161_unidentified.pdf,1-s2.0-S138589471931191X-main.pdf,Chemical Engineering Journal 374 (2019) 706–720,"Mohadeseh Zarea,b, Molamma P. Prabhakarana, Nader Parvinb,⁎ , Seeram Ramakrishnaa,⁎",Science,2019,10.1016/j.cej.2019.05.167,,,,,shape_memory,readable,
P162,P162_unidentified.pdf,nature08863.pdf,Vol464|11March2010|doi:10.1038/nature08863,"externalstimulussuchasheat1,light2,3,moisture4ormagneticfield5. (see Supplementary Information), but was due to the removal of",Nature,2010,10.1038/nature08863,,,,,shape_memory,readable,
P163,P163_unidentified.pdf,s41467-018-03094-2 (1).pdf,High enthalpy storage thermoset network with,,Nature,2018,10.1038/s41467-018-03094-2,,,,,shape_memory,readable,
P164,P164_unidentified.pdf,s41563-020-0789-2.pdf,A bioinspired and hierarchically structured,"Luca Cera1, Grant M. Gonzalez1, Qihan Liu1, Suji Choi1, Christophe O. Chantre1, Juncheol Lee 2,",Polymer,2021,10.1038/s41563-020-0789-2,,,,,shape_memory,readable,
P165,P165_unidentified.pdf,双向形状记忆.pdf,Chemical Engineering Journal 521 (2025) 166372,"strategies, programming mechanisms, and emerging applications",Science,2025,10.1016/j.cej.2025.166372,,,,,shape_memory,readable,
P166,P166_unidentified.pdf,态硫代氨基甲酸酯交联体系.pdf,pubs.acs.org/Macromolecules Article,"Xingyuan Lu, Jiachen Wang, Chengliang Tao, Hao Wang, and Junqi Sun*",Macromolecules,2025,10.1021/acs.macromol.5c02546,,,,,elastomer,readable,
P167,P167_unidentified.pdf,抗疲劳的机械响应变色水凝胶用于视觉触觉机器人.pdf,RESEARCH ARTICLE,"Jiabin Liu, Wei Li, Yu She, Sean Blanchard, and Shaoting Lin*",,2024,10.1002/adma.202407925,,,,,hydrogel,readable,
P168,P168_unidentified.pdf,1-s2.0-S1369702123000706-main.pdf,"MaterialsTodaydVolumexxx,Numberxxdxxxx2023 RESEARCH","Yang Yu1,2,#, Hengyu Li1,3,#, Da Zhao1,#, Qi Gao1,2, Xiang Li1,2, Jianlong Wang1,2,",Science,2023,10.1016/j.mattod.2023.03.008,,,,,triboelectric,readable,
P169,P169_unidentified.pdf,1-s2.0-S2211285523002021-main.pdf,NanoEnergy111(2023)108365,"Mohammad M. Rastegardoost, Omid Aghababaei Tafreshi, Zia Saadatnia, Shahriar Ghaffari-",Science,2023,10.1016/j.nanoen.2023.108365,,,,,triboelectric,readable,
P170,P170_unidentified.pdf,1-s2.0-S221128552300215X-main.pdf,NanoEnergy111(2023)108378,"Ashaduzzaman Khan, Tanvir Alam, Mamunur Rashid, Shahedur Rahman Mir, Gaffar Hossain*",Science,2023,10.1016/j.nanoen.2023.108378,,,,,triboelectric,readable,
P171,P171_unidentified.pdf,1-s2.0-S2211285523002227-main.pdf,NanoEnergy110(2023)108385,"Benbo Xi, Liangliang Wang, Biao Yang, Yifan Xia, Delu Chen, Xin Wang*",Science,2023,10.1016/j.nanoen.2023.108385,,,,,triboelectric,readable,
P172,P172_unidentified.pdf,1-s2.0-S2211285523002264-main.pdf,NanoEnergy111(2023)108389,"Seh-Hoon Chunga,1, Jin-ho Sona,1, Kyunghwan Chaa, Moonhyun Choib, Heesoo Jungc, Min-",Science,2023,10.1016/j.nanoen.2023.108389,,,,,triboelectric,readable,
P173,P173_unidentified.pdf,1-s2.0-S221128552300229X-main.pdf,NanoEnergy110(2023)108392,"Jianchao Guoa,b, Jiaqi Hea,b, Zuqing Yuana, Juan Taoa, Xiangyu Liua,b, Zhuoyu Songc,",Science,2023,10.1016/j.nanoen.2023.108392,,,,,triboelectric,readable,
P174,P174_unidentified.pdf,1-s2.0-S2211285523002501-main.pdf,Journal Pre-proof,"Chandrarathna, Punnarao Manchi, Mandar Vasant",Nano Energy,2023,10.1016/j.nanoen.2023.108413,,,,,triboelectric,readable,
P175,P175_unidentified.pdf,Advanced Energy Materials - 2023 - Zhang - Recent Advances in Triboelectric Nanogenerators for Marine Exploitation.pdf,www.advenergymat.de,"Chuguo Zhang, Yijun Hao, Jiayi Yang, Wei Su, Hongke Zhang, Jie Wang,*",,2023,10.1002/aenm.202300387,,,,,triboelectric,readable,
P176,P176_unidentified.pdf,摩擦伏特纳米发电机的最新进展：机理见解与未来展望.pdf,Journal Pre-proof,"Saswat Choudhury, Jin Young Choi, Byong Joo",Science,2026,10.1016/j.nanoen.2026.111766,,,,,triboelectric,readable,
P177,P177_unidentified.pdf,摩擦电原理.pdf,Journal Pre-proof,"Lizhou Li, Xiaoli Wang, Yanqiang Hu, Zhihao Li,",Polymer,2023,10.1016/j.nanoen.2023.108724,,,,,triboelectric,readable,
P178,P178_unidentified.pdf,摩擦电机理.pdf,View Article Online,"This article can be cited before page numbers have been issued, to do this please use: X. Chen, H. Wu, J.",Journal of Materials Chemistry,2025,10.1039/D5TA01136A,,,,,triboelectric,readable,
P179,P179_unidentified.pdf,梯度纳米掺杂摩擦纳米发电机.pdf,"MaterialsTodaydVolumexxx,Numberxxdxxxx2023 RESEARCH","Xiaobo Gao1,4,† , Fangjing Xing2,3,† , Feng Guo1,⇑, Jing Wen2,3, Hao Li2,3, Yuhan",Science,2023,10.1016/j.mattod.2023.03.010,,,,,triboelectric,readable,
P180,P180_unidentified.pdf,CrystalGAT：一种基于人工智能的智能柔性晶体材料设计计算平台.pdf,"Howtocite:Angew.Chem.Int.Ed.2025,e18543","ChenyangZhao,YanboLiu,ShiTang,JianminZhou,SongguWu,*andJunboGong*",Science,2025,10.1002/anie.202518543,,,,,crystallization,readable,
P181,P181_unidentified.pdf,MOF机器学习.pdf,Materials Today xxx (xxxx) xxx,"Yong Qiua, Lei Wanga, Chang Liua, Xu Zhanga, Yun Tiana,*, Zhen Zhoua,b,**",Science,2025,10.1016/j.mattod.2025.10.017,,,,,machine_learning,readable,
P182,P182_unidentified.pdf,TransPolymer：一种基于 Transformer 的语言模型，用于聚合物性能预测.pdf,www.nature.com/npjcompumats,"Changwen Xu 1,2, Yuyang Wang 2,3 andAmir BaratiFarimani 1,2,3,4",Nature,2023,10.1038/s41524-023-01016-5,,,,,machine_learning,readable,
P183,P183_unidentified.pdf,一个机器学习原子间势数据集与模型：通过局部微调达到化学精度的催化研究.pdf,This article is licensed under CC-BY-NC-ND 4.0,"Zhihong Wu, # Lei Zhou, # Pengfei Hou, Yuyan Liu, Ruixing Wang, Taoli Guo, and Jin-Cheng Liu*",Small,2025,10.1021/jacsau.5c01112,,,,,machine_learning,readable,
P184,P184_unidentified.pdf,基于改进节点级特征的图神经网络实现高保真电子结构的Δ学习.pdf,Δ‑Learning of High-Fidelity Electronic,"Nima Karimitari, Teerachote Pakornchote, Abdulaziz W. Alherz, Jacob M. Clary, Cooper Tezak,",,2025,10.1021/acsmaterialslett.5c00857,,,,,machine_learning,readable,
P185,P185_unidentified.pdf,将机器学习添加到聚合物反应工程工具箱.pdf,Journal Pre-proof,"Kiarash Farajzadehahary , Shaghayegh Hamzehlou ,",Science,2025,10.1016/j.progpolymsci.2025.102029,,,,,machine_learning,readable,
P186,P186_unidentified.pdf,聚合物的周期性感知深度学习.pdf,nature computational science,"Received: 4 January 2025 Yuhui Wu1,2,5, Cong Wang1,2,5, Xintian Shen1,2, Tianyi Zhang1,2, Peng Zhang 1,2,3",Nature,2025,10.1038/s43588-025-00903-9,,,,,machine_learning,readable,
P187,P187_unidentified.pdf,聚合物的结构感知机器学习：用于从统计系综预测性能的层次图网络.pdf,MacromolecularRapidCommunications,"Julian Kimmig1 , 2 , 3 Yannik Köster1 , 2 Timo Koswig1 , 2 Punith Raviswamy4 Subhash V. S. Ganti4 , 5",Nature,2026,10.1002/marc.202500671,,,,,machine_learning,readable,
P188,P188_unidentified.pdf,通过机器学习模型探索生物基聚氨酯弹性体的热机械性能.pdf,MacromolecularRapidCommunications,"1 Department of Polymer Materials and Engineering, College of Materials and Metallurgy, Guizhou University, Guiyang, P. R. China 2 Guizhou Tyre Co., Ltd,",Polymer,2026,10.1002/marc.202500963,,,,,machine_learning,readable,
P189,P189_unidentified.pdf,通过热力学循环、机器学习和溶剂集合准确预测溶解度曲线.pdf,pubs.acs.org/JACS Article,"Emad Al Ibrahim, Nathan Morgan, Simon Müller, Saikiran Motati, and William H. Green*",Science,2025,10.1021/jacs.5c13746,,,,,machine_learning,readable,
P190,P190_unidentified.pdf,面向固态电解质设计的机器学习流程.pdf,View Article Online,"This article can be cited before page numbers have been issued, to do this please use: V. Jain, Z. Wang",Materials Horizons,2025,10.1039/D5MH01525A,,,,,machine_learning,readable,
P191,P191_unidentified.pdf,来自排列整齐的层状阵列的椭圆小角 X 射线散射图.pdf,FULLPAPER WWW.POLYMERPHYSICS.ORG POLYMERSCIENCE,"David Grubb,1 N. Sanjeeva Murthy,2 Oriano Francescangeli3",Science,2015,10.1002/polb.23930,,,,,crystallization,readable,
P192,P192_unidentified.pdf,柔性电子.pdf,Age of Flexible Electronics: Emerging Trends in Soft Multifunctional Sensors,"Department of Chemical Engineering, Pohang University of Science and Technology, Pohang",Science,2024,10.1002/adma.202310505,,,,,other,readable,
P193,P193_unidentified.pdf,氢键辅助的聚合物稳定离子簇的连续矿化作用.pdf,pubs.acs.org/Macromolecules Article,"Angxuan Wu, ∥ Rui Sun, ∥ Xiaolin Qian, Baosheng Guo, Zhiwei Li, Daqi Li, Wenwen Yu, Yilan Ye,*",Nature,2025,10.1021/acs.macromol.5c03164,,,,,other,readable,
P194,P194_unidentified.pdf,1-s2.0-S0079670021000770-main.pdf,Progress in Polymer Science 120 (2021) 101430,"Qinan Zhang a , b, Mengze Song a , b, Yanyan Xu a , b, Wencai Wang a , b, c, Zhao Wang a , b , c , ∗,",Science,2021,10.1016/j.progpolymsci.2021.101430,,,,,rheology,readable,
P195,P195_unidentified.pdf,1-s2.0-S2211285523008248-main.pdf,NanoEnergy118(2023)108987,"Junzhu Taoa,b,1, Yifan Wanga,b,1, Xuekai Zhenga,b, Chao Zhaob,c, Xin Jina,b,*,",Science,2023,10.1016/j.nanoen.2023.108987,,,,,rheology,readable,
P196,P196_unidentified.pdf,Advanced Materials - 2025 - Liu - Bio‐Based Elastomers  Design  Properties  and Biomedical Applications (1).pdf,www.advmat.de,"Bio-Based Elastomers: Design, Properties, and Biomedical",Polymer,2025,10.1002/adma.202417193,,,,,rheology,readable,
P197,P197_unidentified.pdf,Piezoelectric polymers  theory  challenges and opportunities.pdf,International Materials Reviews,"theory, challenges and opportunities, International Materials Reviews, 67:1, 65-88, DOI:",Science,2021,10.1080/09506608.2021.1915935,,,,,piezoelectric,readable,
P198,P198_unidentified.pdf,acs.jpclett.1c03202.pdf,pubs.acs.org/JPCL Letter,"Yuyuan Lu, Zhenhua Wang, Lijia An, and An-Chang Shi",Polymer,2021,10.1021/acs.jpclett.1c03202,,,,,rheology,readable,
P199,P199_unidentified.pdf,acs.macromol.0c00699.pdf,pubs.acs.org/Macromolecules Article,"Role of Functionality in Cross-Stream Migration, Structures, and",Macromolecules,2020,10.1021/acs.macromol.0c00699,,,,,rheology,readable,
