paper_id,figure_or_table,content,key_observation,supported_conclusion,importance_level
P063,Fig. 6,,,,
P063,Fig. 3,,,,
P063,Fig. 2a,,,,
P063,Fig. 5,,,,
P064,Fig. 2,,,,
P064,Fig. 4,,,,
P064,Fig. 1,,,,
P064,Fig. 3,,,,
P065,Fig. 4d,,,,
P065,Fig. 4a,,,,
P065,Fig. 4,,,,
P065,Fig. 1f,,,,
P065,Fig. 1a,,,,
P065,Fig. 3b,,,,
P065,Fig. 4f,,,,
P065,Fig. 2,,,,
P065,Fig. 1b,,,,
P065,Fig. 1,,,,
P065,Fig. 5a,,,,
P065,Fig. 3c,,,,
P065,Fig. 3a,,,,
P065,Fig. 4b,,,,
P065,Fig. 4e,,,,
P065,Fig. 1c,,,,
P065,Fig. 4h,,,,
P065,Fig. 3f,,,,
P065,Fig. 1d,,,,
P065,Fig. 1e,,,,
P065,Fig. 3d,,,,
P065,Fig. 5b,,,,
P065,Fig. 3,,,,
P065,Fig. 4c,,,,
P066,Fig. 6b,,,,
P066,Fig. 2d,,,,
P066,Fig. 2b,,,,
P066,Fig. 6d,,,,
P066,Fig. 4a,,,,
P066,Fig. 4,,,,
P066,Fig. 3g,,,,
P066,Fig. 5d,,,,
P066,Fig. 4i,,,,
P066,Fig. 5g,,,,
P066,Fig. 3e,,,,
P066,Fig. 1a,,,,
P066,Fig. 3b,,,,
P066,Fig. 3h,,,,
P066,Fig. 6c,,,,
P066,Fig. 2f,,,,
P066,Fig. 5c,,,,
P066,Fig. 4f,,,,
P066,Fig. 2,,,,
P066,Fig. 1b,,,,
P066,Fig. 1,,,,
P066,Fig. 5a,,,,
P066,Fig. 2g,,,,
P066,Fig. 3c,,,,
P066,Fig. 2e,,,,
P066,Fig. 3a,,,,
P066,Fig. 4b,,,,
P066,Fig. 2c,,,,
P066,Fig. 3i,,,,
P066,Fig. 1c,,,,
P066,Fig. 5i,,,,
P066,Fig. 3f,,,,
P066,Fig. 6a,,,,
P066,Fig. 1d,,,,
P066,Fig. 6e,,,,
P066,Fig. 3d,,,,
P066,Fig. 6,,,,
P066,Fig. 3,,,,
P066,Fig. 4c,,,,
P066,Fig. 2a,,,,
P066,Fig. 5,,,,
P067,Fig. 6b,,,,
P067,Fig. 2d,,,,
P067,Fig. 2b,,,,
P067,Fig. 4,,,,
P067,Fig. 4a,,,,
P067,Fig. 3g,,,,
P067,Fig. 5d,,,,
P067,Fig. 4i,,,,
P067,Fig. 5g,,,,
P067,Fig. 3e,,,,
P067,Fig. 3b,,,,
P067,Fig. 6i,,,,
P067,Fig. 3h,,,,
P067,Fig. 6c,,,,
P067,Fig. 2f,,,,
P067,Fig. 4f,,,,
P067,Fig. 2,,,,
P067,Fig. 4g,,,,
P067,Fig. 1,,,,
P067,Fig. 6g,,,,
P067,Fig. 5a,,,,
P067,Fig. 2g,,,,
P067,Fig. 5h,,,,
P067,Fig. 5f,,,,
P067,Fig. 2e,,,,
P067,Fig. 3a,,,,
P067,Fig. 4e,,,,
P067,Fig. 3k,,,,
P067,Fig. 4b,,,,
P067,Fig. 2c,,,,
P067,Fig. 3i,,,,
P067,Fig. 6h,,,,
P067,Fig. 4j,,,,
P067,Fig. 4h,,,,
P067,Fig. 3j,,,,
P067,Fig. 3f,,,,
P067,Fig. 6a,,,,
P067,Fig. 6e,,,,
P067,Fig. 6,,,,
P067,Fig. 3,,,,
P067,Fig. 4c,,,,
P067,Fig. 2a,,,,
P067,Fig. 5,,,,
P068,Fig. 4d,,,,
P068,Fig. 6b,,,,
P068,Fig. 2d,,,,
P068,Fig. 2b,,,,
P068,Fig. 4a,,,,
P068,Fig. 4,,,,
P068,Fig. 5d,,,,
P068,Fig. 3b,,,,
P068,Fig. 2,,,,
P068,Fig. 1,,,,
P068,Fig. 5a,,,,
P068,Fig. 3c,,,,
P068,Fig. 3a,,,,
P068,Fig. 4b,,,,
P068,Fig. 2c,,,,
P068,Fig. 6a,,,,
P068,Fig. 3d,,,,
P068,Fig. 6,,,,
P068,Fig. 5b,,,,
P068,Fig. 3,,,,
P068,Fig. 4c,,,,
P068,Fig. 2a,,,,
P068,Fig. 5,,,,
P069,Fig. 2b,,,,
P069,Fig. 4,,,,
P069,Fig. 3s,,,,
P069,Fig. 7,,,,
P069,Fig. 3e,,,,
P069,Fig. 9,,,,
P069,Fig. 12b,,,,
P069,Fig. 13,,,,
P069,Fig. 2,,,,
P069,Fig. 8,,,,
P069,Fig. 14,,,,
P069,Fig. 1,,,,
P069,Fig. 11c,,,,
P069,Fig. 10,,,,
P069,Fig. 5s,,,,
P069,Fig. 11,,,,
P069,Fig. 3c,,,,
P069,Fig. 3a,,,,
P069,Fig. 12,,,,
P069,Fig. 11a,,,,
P069,Fig. 12a,,,,
P069,Fig. 3d,,,,
P069,Fig. 6,,,,
P069,Fig. 11b,,,,
P069,Fig. 3,,,,
P069,Fig. 2a,,,,
P069,Fig. 5,,,,
P070,Fig. 15,,,,
P070,Fig. 13,,,,
P070,Fig. 2,,,,
P070,Fig. 4,,,,
P070,Fig. 8,,,,
P070,Fig. 14,,,,
P070,Fig. 1,,,,
P070,Fig. 7,,,,
P070,Fig. 6,,,,
P070,Fig. 3,,,,
P070,Fig. 9,,,,
P070,Fig. 12,,,,
P070,Fig. 10,,,,
P070,Fig. 11,,,,
P070,Fig. 5,,,,
P071,Fig. 13,,,,
P071,Fig. 2,,,,
P071,Fig. 8,,,,
P071,Fig. 4,,,,
P071,Fig. 14,,,,
P071,Fig. 1,,,,
P071,Fig. 7,,,,
P071,Fig. 6,,,,
P071,Fig. 3,,,,
P071,Fig. 9,,,,
P071,Fig. 12,,,,
P071,Fig. 10,,,,
P071,Fig. 11,,,,
P071,Fig. 5,,,,
P072,Fig. 2,,,,
P072,Fig. 4,,,,
P072,Fig. 8,,,,
P072,Fig. 1,,,,
P072,Fig. 7,,,,
P072,Fig. 6,,,,
P072,Fig. 3,,,,
P072,Fig. 9,,,,
P072,Fig. 10,,,,
P072,Fig. 5,,,,
P073,Fig. 2,,,,
P073,Fig. 4,,,,
P073,Fig. 1,,,,
P073,Fig. 3,,,,
P073,Fig. 5,,,,
P074,Fig. 15,,,,
P074,Fig. 13,,,,
P074,Fig. 2,,,,
P074,Fig. 4,,,,
P074,Fig. 8,,,,
P074,Fig. 14,,,,
P074,Fig. 1,,,,
P074,Fig. 7,,,,
P074,Fig. 6,,,,
P074,Fig. 3,,,,
P074,Fig. 9,,,,
P074,Fig. 12,,,,
P074,Fig. 10,,,,
P074,Fig. 11,,,,
P074,Fig. 5,,,,
P075,Fig. 6b,,,,
P075,Fig. 4,,,,
P075,Fig. 7b,,,,
P075,Fig. 13a,,,,
P075,Fig. 7,,,,
P075,Fig. 10b,,,,
P075,Fig. 12c,,,,
P075,Fig. 9,,,,
P075,Fig. 5c,,,,
P075,Fig. 10d,,,,
P075,Fig. 13,,,,
P075,Fig. 2,,,,
P075,Fig. 8,,,,
P075,Fig. 1,,,,
P075,Fig. 13b,,,,
P075,Fig. 5a,,,,
P075,Fig. 7d,,,,
P075,Fig. 10,,,,
P075,Fig. 11,,,,
P075,Fig. 9b,,,,
P075,Fig. 7a,,,,
P075,Fig. 7c,,,,
P075,Fig. 8a,,,,
P075,Fig. 12,,,,
P075,Fig. 8b,,,,
P075,Fig. 6a,,,,
P075,Fig. 9c,,,,
P075,Fig. 11a,,,,
P075,Fig. 12a,,,,
P075,Fig. 10a,,,,
P075,Fig. 6,,,,
P075,Fig. 8c,,,,
P075,Fig. 11b,,,,
P075,Fig. 5b,,,,
P075,Fig. 3,,,,
P075,Fig. 6c,,,,
P075,Fig. 5,,,,
P076,Fig. 15,,,,
P076,Fig. 4,,,,
P076,Fig. 7,,,,
P076,Fig. 8s,,,,
P076,Fig. 17,,,,
P076,Fig. 9,,,,
P076,Fig. 18,,,,
P076,Fig. 13,,,,
P076,Fig. 2,,,,
P076,Fig. 8,,,,
P076,Fig. 14,,,,
P076,Fig. 1,,,,
P076,Fig. 10,,,,
P076,Fig. 11,,,,
P076,Fig. 19,,,,
P076,Fig. 12,,,,
P076,Fig. 16,,,,
P076,Fig. 6,,,,
P076,Fig. 3,,,,
P076,Fig. 9s,,,,
P076,Fig. 5,,,,
P077,Fig. 4d,,,,
P077,Fig. 2b,,,,
P077,Fig. 4,,,,
P077,Fig. 4a,,,,
P077,Fig. 5d,,,,
P077,Fig. 4i,,,,
P077,Fig. 5g,,,,
P077,Fig. 3e,,,,
P077,Fig. 1a,,,,
P077,Fig. 5c,,,,
P077,Fig. 4f,,,,
P077,Fig. 2,,,,
P077,Fig. 1b,,,,
P077,Fig. 4g,,,,
P077,Fig. 1,,,,
P077,Fig. 5e,,,,
P077,Fig. 5a,,,,
P077,Fig. 5f,,,,
P077,Fig. 3c,,,,
P077,Fig. 3a,,,,
P077,Fig. 4b,,,,
P077,Fig. 2c,,,,
P077,Fig. 1c,,,,
P077,Fig. 4h,,,,
P077,Fig. 33,,,,
P077,Fig. 1740,,,,
P077,Fig. 3d,,,,
P077,Fig. 5b,,,,
P077,Fig. 3,,,,
P077,Fig. 4c,,,,
P077,Fig. 2a,,,,
P077,Fig. 5,,,,
P078,Fig. 2,,,,
P078,Fig. 4,,,,
P078,Fig. 1,,,,
P078,Fig. 7,,,,
P078,Fig. 6,,,,
P078,Fig. 3,,,,
P078,Fig. 5,,,,
P080,Fig. 2,,,,
P080,Fig. 4,,,,
P080,Fig. 8,,,,
P080,Fig. 1,,,,
P080,Fig. 7,,,,
P080,Fig. 6,,,,
P080,Fig. 5a,,,,
P080,Fig. 3,,,,
P080,Fig. 5,,,,
P081,Fig. 2,,,,
P081,Fig. 4,,,,
P081,Fig. 8,,,,
P081,Fig. 1,,,,
P081,Fig. 7,,,,
P081,Fig. 6,,,,
P081,Fig. 3,,,,
P081,Fig. 5,,,,
P082,Fig. 13,,,,
P082,Fig. 2,,,,
P082,Fig. 4,,,,
P082,Fig. 8,,,,
P082,Fig. 14,,,,
P082,Fig. 1,,,,
P082,Fig. 7,,,,
P082,Fig. 6,,,,
P082,Fig. 3,,,,
P082,Fig. 9,,,,
P082,Fig. 12,,,,
P082,Fig. 10,,,,
P082,Fig. 11,,,,
P082,Fig. 5,,,,
P083,Fig. 9b,,,,
P083,Fig. 2,,,,
P083,Fig. 4,,,,
P083,Fig. 8,,,,
P083,Fig. 1,,,,
P083,Fig. 7,,,,
P083,Fig. 6,,,,
P083,Fig. 3,,,,
P083,Fig. 9,,,,
P083,Fig. 5,,,,
P084,Fig. 15,,,,
P084,Fig. 13,,,,
P084,Fig. 2,,,,
P084,Fig. 4,,,,
P084,Fig. 8,,,,
P084,Fig. 3s,,,,
P084,Fig. 1,,,,
P084,Fig. 7,,,,
P084,Fig. 14,,,,
P084,Fig. 6,,,,
P084,Fig. 3,,,,
P084,Fig. 9,,,,
P084,Fig. 12,,,,
P084,Fig. 10,,,,
P084,Fig. 11,,,,
P084,Fig. 5,,,,
P085,Fig. 6b,,,,
P085,Fig. 2b,,,,
P085,Fig. 4a,,,,
P085,Fig. 4,,,,
P085,Fig. 7b,,,,
P085,Fig. 7,,,,
P085,Fig. 10b,,,,
P085,Fig. 3b,,,,
P085,Fig. 9,,,,
P085,Fig. 6c,,,,
P085,Fig. 5c,,,,
P085,Fig. 9a,,,,
P085,Fig. 2,,,,
P085,Fig. 8,,,,
P085,Fig. 1,,,,
P085,Fig. 11c,,,,
P085,Fig. 5a,,,,
P085,Fig. 10,,,,
P085,Fig. 11,,,,
P085,Fig. 3c,,,,
P085,Fig. 3a,,,,
P085,Fig. 9b,,,,
P085,Fig. 4b,,,,
P085,Fig. 4e,,,,
P085,Fig. 2c,,,,
P085,Fig. 7a,,,,
P085,Fig. 7c,,,,
P085,Fig. 8a,,,,
P085,Fig. 12,,,,
P085,Fig. 6a,,,,
P085,Fig. 8b,,,,
P085,Fig. 11a,,,,
P085,Fig. 10a,,,,
P085,Fig. 6,,,,
P085,Fig. 11b,,,,
P085,Fig. 5b,,,,
P085,Fig. 3,,,,
P085,Fig. 4c,,,,
P085,Fig. 2a,,,,
P085,Fig. 5,,,,
P086,Fig. 2,,,,
P086,Fig. 4,,,,
P086,Fig. 8,,,,
P086,Fig. 1,,,,
P086,Fig. 7,,,,
P086,Fig. 6,,,,
P086,Fig. 3,,,,
P086,Fig. 2a,,,,
P086,Fig. 5,,,,
P087,Fig. 4d,,,,
P087,Fig. 2d,,,,
P087,Fig. 2b,,,,
P087,Fig. 4a,,,,
P087,Fig. 4,,,,
P087,Fig. 7b,,,,
P087,Fig. 3g,,,,
P087,Fig. 5d,,,,
P087,Fig. 7,,,,
P087,Fig. 3e,,,,
P087,Fig. 1a,,,,
P087,Fig. 3b,,,,
P087,Fig. 3h,,,,
P087,Fig. 2f,,,,
P087,Fig. 5c,,,,
P087,Fig. 2,,,,
P087,Fig. 1b,,,,
P087,Fig. 1,,,,
P087,Fig. 5a,,,,
P087,Fig. 7d,,,,
P087,Fig. 3c,,,,
P087,Fig. 2e,,,,
P087,Fig. 3a,,,,
P087,Fig. 4b,,,,
P087,Fig. 2c,,,,
P087,Fig. 1c,,,,
P087,Fig. 7a,,,,
P087,Fig. 7c,,,,
P087,Fig. 3f,,,,
P087,Fig. 3d,,,,
P087,Fig. 6,,,,
P087,Fig. 5b,,,,
P087,Fig. 3,,,,
P087,Fig. 4c,,,,
P087,Fig. 2a,,,,
P087,Fig. 5,,,,
P088,Fig. 4d,,,,
P088,Fig. 2d,,,,
P088,Fig. 2b,,,,
P088,Fig. 6d,,,,
P088,Fig. 4,,,,
P088,Fig. 4a,,,,
P088,Fig. 7b,,,,
P088,Fig. 7,,,,
P088,Fig. 3e,,,,
P088,Fig. 1a,,,,
P088,Fig. 3b,,,,
P088,Fig. 9,,,,
P088,Fig. 6c,,,,
P088,Fig. 5c,,,,
P088,Fig. 9e,,,,
P088,Fig. 9a,,,,
P088,Fig. 9g,,,,
P088,Fig. 2,,,,
P088,Fig. 8,,,,
P088,Fig. 1,,,,
P088,Fig. 7d,,,,
P088,Fig. 3c,,,,
P088,Fig. 3a,,,,
P088,Fig. 9b,,,,
P088,Fig. 4b,,,,
P088,Fig. 2c,,,,
P088,Fig. 1c,,,,
P088,Fig. 9f,,,,
P088,Fig. 7a,,,,
P088,Fig. 7c,,,,
P088,Fig. 8a,,,,
P088,Fig. 3f,,,,
P088,Fig. 6a,,,,
P088,Fig. 7e,,,,
P088,Fig. 9c,,,,
P088,Fig. 1d,,,,
P088,Fig. 6e,,,,
P088,Fig. 9d,,,,
P088,Fig. 8e,,,,
P088,Fig. 3d,,,,
P088,Fig. 6,,,,
P088,Fig. 5b,,,,
P088,Fig. 3,,,,
P088,Fig. 4c,,,,
P088,Fig. 2a,,,,
P088,Fig. 5,,,,
P089,Fig. 5c,,,,
P089,Fig. 6b,,,,
P089,Fig. 4b,,,,
P089,Fig. 4e,,,,
P089,Fig. 1e,,,,
P089,Fig. 2,,,,
P089,Fig. 4a,,,,
P089,Fig. 4,,,,
P089,Fig. 1,,,,
P089,Fig. 1a,,,,
P089,Fig. 1g,,,,
P089,Fig. 5a,,,,
P089,Fig. 3,,,,
P089,Fig. 2a,,,,
P089,Fig. 5,,,,
P090,Fig. 10d,,,,
P090,Fig. 12,,,,
P090,Fig. 6d,,,,
P090,Fig. 2,,,,
P090,Fig. 2s,,,,
P090,Fig. 4,,,,
P090,Fig. 8,,,,
P090,Fig. 1,,,,
P090,Fig. 7,,,,
P090,Fig. 8p,,,,
P090,Fig. 3d,,,,
P090,Fig. 6,,,,
P090,Fig. 3,,,,
P090,Fig. 9,,,,
P090,Fig. 7d,,,,
P090,Fig. 10,,,,
P090,Fig. 11,,,,
P090,Fig. 5,,,,
P091,Fig. 4d,,,,
P091,Fig. 2d,,,,
P091,Fig. 4a,,,,
P091,Fig. 4,,,,
P091,Fig. 1f,,,,
P091,Fig. 3e,,,,
P091,Fig. 1a,,,,
P091,Fig. 2i,,,,
P091,Fig. 4f,,,,
P091,Fig. 2,,,,
P091,Fig. 1b,,,,
P091,Fig. 1,,,,
P091,Fig. 2e,,,,
P091,Fig. 3a,,,,
P091,Fig. 4b,,,,
P091,Fig. 4e,,,,
P091,Fig. 1d,,,,
P091,Fig. 3d,,,,
P091,Fig. 3,,,,
P091,Fig. 2k,,,,
P091,Fig. 4c,,,,
P091,Fig. 2a,,,,
P092,Fig. 4d,,,,
P092,Fig. 4,,,,
P092,Fig. 4a,,,,
P092,Fig. 4i,,,,
P092,Fig. 3e,,,,
P092,Fig. 1a,,,,
P092,Fig. 3h,,,,
P092,Fig. 2f,,,,
P092,Fig. 4f,,,,
P092,Fig. 2,,,,
P092,Fig. 1b,,,,
P092,Fig. 1,,,,
P092,Fig. 5a,,,,
P092,Fig. 2g,,,,
P092,Fig. 3c,,,,
P092,Fig. 3a,,,,
P092,Fig. 4b,,,,
P092,Fig. 2c,,,,
P092,Fig. 1c,,,,
P092,Fig. 4h,,,,
P092,Fig. 3f,,,,
P092,Fig. 1d,,,,
P092,Fig. 2h,,,,
P092,Fig. 3,,,,
P092,Fig. 4c,,,,
P092,Fig. 2a,,,,
P092,Fig. 5,,,,
P093,Fig. 2d,,,,
P093,Fig. 3l,,,,
P093,Fig. 2b,,,,
P093,Fig. 4a,,,,
P093,Fig. 4,,,,
P093,Fig. 3g,,,,
P093,Fig. 5d,,,,
P093,Fig. 5g,,,,
P093,Fig. 1f,,,,
P093,Fig. 1a,,,,
P093,Fig. 1g,,,,
P093,Fig. 3h,,,,
P093,Fig. 2f,,,,
P093,Fig. 5c,,,,
P093,Fig. 5j,,,,
P093,Fig. 2,,,,
P093,Fig. 1b,,,,
P093,Fig. 1,,,,
P093,Fig. 5e,,,,
P093,Fig. 2g,,,,
P093,Fig. 5h,,,,
P093,Fig. 5f,,,,
P093,Fig. 3c,,,,
P093,Fig. 3a,,,,
P093,Fig. 5l,,,,
P093,Fig. 3k,,,,
P093,Fig. 1h,,,,
P093,Fig. 2c,,,,
P093,Fig. 3i,,,,
P093,Fig. 1c,,,,
P093,Fig. 5i,,,,
P093,Fig. 3j,,,,
P093,Fig. 3f,,,,
P093,Fig. 1d,,,,
P093,Fig. 2h,,,,
P093,Fig. 3m,,,,
P093,Fig. 5k,,,,
P093,Fig. 1e,,,,
P093,Fig. 3d,,,,
P093,Fig. 5b,,,,
P093,Fig. 3,,,,
P093,Fig. 4c,,,,
P093,Fig. 2a,,,,
P093,Fig. 5,,,,
P094,Fig. 2b,,,,
P094,Fig. 4a,,,,
P094,Fig. 4,,,,
P094,Fig. 7,,,,
P094,Fig. 9,,,,
P094,Fig. 5c,,,,
P094,Fig. 10d,,,,
P094,Fig. 2,,,,
P094,Fig. 8,,,,
P094,Fig. 1,,,,
P094,Fig. 11c,,,,
P094,Fig. 5a,,,,
P094,Fig. 10,,,,
P094,Fig. 4b,,,,
P094,Fig. 8a,,,,
P094,Fig. 10c,,,,
P094,Fig. 8b,,,,
P094,Fig. 6a,,,,
P094,Fig. 11a,,,,
P094,Fig. 10a,,,,
P094,Fig. 6,,,,
P094,Fig. 11b,,,,
P094,Fig. 5b,,,,
P094,Fig. 3,,,,
P094,Fig. 5,,,,
P095,Fig. 1d,,,,
P095,Fig. 2,,,,
P095,Fig. 4,,,,
P095,Fig. 1b,,,,
P095,Fig. 1c,,,,
P095,Fig. 1,,,,
P095,Fig. 1a,,,,
P095,Fig. 3,,,,
P096,Fig. 2b,,,,
P096,Fig. 2,,,,
P096,Fig. 1,,,,
P096,Fig. 3,,,,
P096,Fig. 2a,,,,
P097,Fig. 15,,,,
P097,Fig. 4d,,,,
P097,Fig. 25,,,,
P097,Fig. 2d,,,,
P097,Fig. 2b,,,,
P097,Fig. 4,,,,
P097,Fig. 4a,,,,
P097,Fig. 30,,,,
P097,Fig. 3g,,,,
P097,Fig. 7,,,,
P097,Fig. 5d,,,,
P097,Fig. 5g,,,,
P097,Fig. 3e,,,,
P097,Fig. 1a,,,,
P097,Fig. 3b,,,,
P097,Fig. 2i,,,,
P097,Fig. 17,,,,
P097,Fig. 9,,,,
P097,Fig. 3h,,,,
P097,Fig. 5b,,,,
P097,Fig. 18,,,,
P097,Fig. 2f,,,,
P097,Fig. 5c,,,,
P097,Fig. 4f,,,,
P097,Fig. 13,,,,
P097,Fig. 8,,,,
P097,Fig. 2,,,,
P097,Fig. 14,,,,
P097,Fig. 1,,,,
P097,Fig. 21,,,,
P097,Fig. 5e,,,,
P097,Fig. 5a,,,,
P097,Fig. 2g,,,,
P097,Fig. 5h,,,,
P097,Fig. 23,,,,
P097,Fig. 10,,,,
P097,Fig. 11,,,,
P097,Fig. 5f,,,,
P097,Fig. 3c,,,,
P097,Fig. 2e,,,,
P097,Fig. 3a,,,,
P097,Fig. 34,,,,
P097,Fig. 4e,,,,
P097,Fig. 19,,,,
P097,Fig. 4b,,,,
P097,Fig. 32,,,,
P097,Fig. 2c,,,,
P097,Fig. 3i,,,,
P097,Fig. 1c,,,,
P097,Fig. 20,,,,
P097,Fig. 2j,,,,
P097,Fig. 33,,,,
P097,Fig. 12,,,,
P097,Fig. 3f,,,,
P097,Fig. 24,,,,
P097,Fig. 31,,,,
P097,Fig. 16,,,,
P097,Fig. 2h,,,,
P097,Fig. 1d,,,,
P097,Fig. 29,,,,
P097,Fig. 1e,,,,
P097,Fig. 22,,,,
P097,Fig. 3d,,,,
P097,Fig. 6,,,,
P097,Fig. 26,,,,
P097,Fig. 3,,,,
P097,Fig. 2a,,,,
P097,Fig. 5,,,,
P098,Fig. 4d,,,,
P098,Fig. 6b,,,,
P098,Fig. 2d,,,,
P098,Fig. 2b,,,,
P098,Fig. 6d,,,,
P098,Fig. 4a,,,,
P098,Fig. 4,,,,
P098,Fig. 7b,,,,
P098,Fig. 5d,,,,
P098,Fig. 7,,,,
P098,Fig. 5g,,,,
P098,Fig. 3e,,,,
P098,Fig. 1a,,,,
P098,Fig. 3b,,,,
P098,Fig. 6c,,,,
P098,Fig. 5c,,,,
P098,Fig. 2,,,,
P098,Fig. 1b,,,,
P098,Fig. 1,,,,
P098,Fig. 5e,,,,
P098,Fig. 5a,,,,
P098,Fig. 5h,,,,
P098,Fig. 7d,,,,
P098,Fig. 5f,,,,
P098,Fig. 3c,,,,
P098,Fig. 3a,,,,
P098,Fig. 4b,,,,
P098,Fig. 4e,,,,
P098,Fig. 2c,,,,
P098,Fig. 1c,,,,
P098,Fig. 5i,,,,
P098,Fig. 7a,,,,
P098,Fig. 7c,,,,
P098,Fig. 7f,,,,
P098,Fig. 3f,,,,
P098,Fig. 6a,,,,
P098,Fig. 7e,,,,
P098,Fig. 6e,,,,
P098,Fig. 3d,,,,
P098,Fig. 6,,,,
P098,Fig. 5b,,,,
P098,Fig. 3,,,,
P098,Fig. 4c,,,,
P098,Fig. 2a,,,,
P098,Fig. 5,,,,
P099,Fig. 4d,,,,
P099,Fig. 2d,,,,
P099,Fig. 2b,,,,
P099,Fig. 4a,,,,
P099,Fig. 4,,,,
P099,Fig. 5d,,,,
P099,Fig. 5g,,,,
P099,Fig. 1a,,,,
P099,Fig. 2f,,,,
P099,Fig. 5c,,,,
P099,Fig. 5j,,,,
P099,Fig. 2,,,,
P099,Fig. 1b,,,,
P099,Fig. 1,,,,
P099,Fig. 5e,,,,
P099,Fig. 5a,,,,
P099,Fig. 5h,,,,
P099,Fig. 5f,,,,
P099,Fig. 3c,,,,
P099,Fig. 3a,,,,
P099,Fig. 4b,,,,
P099,Fig. 1c,,,,
P099,Fig. 5i,,,,
P099,Fig. 1d,,,,
P099,Fig. 1e,,,,
P099,Fig. 3d,,,,
P099,Fig. 5b,,,,
P099,Fig. 3,,,,
P099,Fig. 4c,,,,
P099,Fig. 2a,,,,
P099,Fig. 5,,,,
P100,Fig. 3a,,,,
P100,Fig. 2d,,,,
P100,Fig. 2b,,,,
P100,Fig. 2,,,,
P100,Fig. 2c,,,,
P100,Fig. 1b,,,,
P100,Fig. 1c,,,,
P100,Fig. 1,,,,
P100,Fig. 4,,,,
P100,Fig. 1a,,,,
P100,Fig. 3b,,,,
P100,Fig. 3,,,,
P100,Fig. 2a,,,,
P100,Fig. 5,,,,
P101,Fig. 4d,,,,
P101,Fig. 6b,,,,
P101,Fig. 2b,,,,
P101,Fig. 6d,,,,
P101,Fig. 4a,,,,
P101,Fig. 4,,,,
P101,Fig. 5d,,,,
P101,Fig. 4i,,,,
P101,Fig. 5g,,,,
P101,Fig. 3e,,,,
P101,Fig. 1a,,,,
P101,Fig. 3b,,,,
P101,Fig. 6i,,,,
P101,Fig. 6k,,,,
P101,Fig. 5c,,,,
P101,Fig. 4f,,,,
P101,Fig. 2,,,,
P101,Fig. 1b,,,,
P101,Fig. 4g,,,,
P101,Fig. 1,,,,
P101,Fig. 5e,,,,
P101,Fig. 6g,,,,
P101,Fig. 5a,,,,
P101,Fig. 2g,,,,
P101,Fig. 5f,,,,
P101,Fig. 3c,,,,
P101,Fig. 3a,,,,
P101,Fig. 4b,,,,
P101,Fig. 4e,,,,
P101,Fig. 2c,,,,
P101,Fig. 1c,,,,
P101,Fig. 6h,,,,
P101,Fig. 6f,,,,
P101,Fig. 4h,,,,
P101,Fig. 6a,,,,
P101,Fig. 1d,,,,
P101,Fig. 2h,,,,
P101,Fig. 6e,,,,
P101,Fig. 1e,,,,
P101,Fig. 3d,,,,
P101,Fig. 6,,,,
P101,Fig. 5b,,,,
P101,Fig. 3,,,,
P101,Fig. 6c,,,,
P101,Fig. 5,,,,
P102,Fig. 15,,,,
P102,Fig. 16,,,,
P102,Fig. 13,,,,
P102,Fig. 2,,,,
P102,Fig. 4,,,,
P102,Fig. 8,,,,
P102,Fig. 14,,,,
P102,Fig. 1,,,,
P102,Fig. 7,,,,
P102,Fig. 6,,,,
P102,Fig. 17,,,,
P102,Fig. 3,,,,
P102,Fig. 9,,,,
P102,Fig. 12,,,,
P102,Fig. 10,,,,
P102,Fig. 11,,,,
P102,Fig. 5,,,,
P103,Fig. 2,,,,
P103,Fig. 4,,,,
P103,Fig. 1,,,,
P103,Fig. 7,,,,
P103,Fig. 6,,,,
P103,Fig. 3,,,,
P103,Fig. 5,,,,
P104,Fig. 3,,,,
P104,Fig. 15,,,,
P104,Fig. 4,,,,
P104,Fig. 7,,,,
P104,Fig. 1f,,,,
P104,Fig. 17,,,,
P104,Fig. 9,,,,
P104,Fig. 4f,,,,
P104,Fig. 13,,,,
P104,Fig. 2,,,,
P104,Fig. 8,,,,
P104,Fig. 14,,,,
P104,Fig. 1,,,,
P104,Fig. 10,,,,
P104,Fig. 11,,,,
P104,Fig. 5f,,,,
P104,Fig. 8f,,,,
P104,Fig. 6f,,,,
P104,Fig. 7f,,,,
P104,Fig. 12,,,,
P104,Fig. 9c,,,,
P104,Fig. 16,,,,
P104,Fig. 6,,,,
P104,Fig. 9a,,,,
P104,Fig. 5,,,,
P105,Fig. 2,,,,
P105,Fig. 4,,,,
P105,Fig. 1,,,,
P105,Fig. 3,,,,
P106,Fig. 2,,,,
P106,Fig. 4,,,,
P106,Fig. 1,,,,
P106,Fig. 7,,,,
P106,Fig. 5,,,,
P106,Fig. 6,,,,
P106,Fig. 3,,,,
P106,Fig. 4r,,,,
P107,Fig. 2,,,,
P107,Fig. 4,,,,
P107,Fig. 1,,,,
P107,Fig. 3,,,,
P107,Fig. 5,,,,
P108,Fig. 15,,,,
P108,Fig. 16,,,,
P108,Fig. 13,,,,
P108,Fig. 2,,,,
P108,Fig. 4,,,,
P108,Fig. 8,,,,
P108,Fig. 14,,,,
P108,Fig. 1,,,,
P108,Fig. 7,,,,
P108,Fig. 6,,,,
P108,Fig. 17,,,,
P108,Fig. 3,,,,
P108,Fig. 9,,,,
P108,Fig. 12,,,,
P108,Fig. 10,,,,
